3,Golden State Warriors*,82,19730,42.9,85.3,.503,11.3,28.9,.391,31.5,56.3,.560,16.6,20.4,.815,8.4,35.1,43.6,29.3,8.0,7.5,15.5,19.6,3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,+6.0,99.6,.239,.339,.603,,.569,14.1,21.0,.195,,.504,12.6,76.3,.186,,Oracle Arena,803,436,19,596,
5,Cleveland Cavaliers*,82,19730,41.1,86.3,.476,12.2,32.7,.372,28.9,53.6,.540,18.5,23.7,.779,8.6,34.3,42.9,23.8,7.2,3.9,14.0,18.9,14,Cleveland Cavaliers*,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,+1.0,98.0,.275,.379,.584,,.547,12.6,20.1,.214,,.540,12.2,77.3,.166,,Quicken Loans Arena,843,042,20,562,
3,Golden State Warriors*,82,19730,42.9,85.3,.503,11.3,28.9,.391,31.5,56.3,.560,16.6,20.4,.815,8.4,35.1,43.6,29.3,8.0,7.5,15.5,19.6,3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,+6.0,99.6,.239,.339,.603,,.569,14.1,21.0,.195,,.504,12.6,76.3,.186,,Oracle Arena,803,436,19,596,
18,Boston Celtics*,82,19805,39.6,88.0,.450,11.8,31.4,.377,27.8,56.6,.491,16.5,21.4,.771,9.7,36.3,46.0,23.2,7.6,4.7,14.5,20.4,6,Boston Celtics*,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,+3.7,96.0,.243,.357,.552,,.518,13.0,21.5,.188,,.495,13.0,78.4,.191,,TD Garden,763,584,18,624,
5,Cleveland Cavaliers*,82,19730,41.1,86.3,.476,12.2,32.7,.372,28.9,53.6,.540,18.5,23.7,.779,8.6,34.3,42.9,23.8,7.2,3.9,14.0,18.9,14,Cleveland Cavaliers*,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,+1.0,98.0,.275,.379,.584,,.547,12.6,20.1,.214,,.540,12.2,77.3,.166,,Quicken Loans Arena,843,042,20,562,
3,Golden State Warriors*,82,19730,42.9,85.3,.503,11.3,28.9,.391,31.5,56.3,.560,16.6,20.4,.815,8.4,35.1,43.6,29.3,8.0,7.5,15.5,19.6,3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,+6.0,99.6,.239,.339,.603,,.569,14.1,21.0,.195,,.504,12.6,76.3,.186,,Oracle Arena,803,436,19,596,
1,Houston Rockets*,82,19755,39.5,86.0,.460,15.6,43.2,.362,23.9,42.8,.558,20.0,25.7,.781,9.2,35.2,44.4,22.0,8.7,4.9,14.1,19.9,1,Houston Rockets*,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,+8.6,97.6,.298,.502,.590,,.551,12.7,21.3,.233,,.521,13.4,79.9,.171,,Toyota Center,732,722,17,871,
18,Boston Celtics*,82,19805,39.6,88.0,.450,11.8,31.4,.377,27.8,56.6,.491,16.5,21.4,.771,9.7,36.3,46.0,23.2,7.6,4.7,14.5,20.4,6,Boston Celtics*,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,+3.7,96.0,.243,.357,.552,,.518,13.0,21.5,.188,,.495,13.0,78.4,.191,,TD Garden,763,584,18,624,
5,Cleveland Cavaliers*,82,19730,41.1,86.3,.476,12.2,32.7,.372,28.9,53.6,.540,18.5,23.7,.779,8.6,34.3,42.9,23.8,7.2,3.9,14.0,18.9,14,Cleveland Cavaliers*,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,+1.0,98.0,.275,.379,.584,,.547,12.6,20.1,.214,,.540,12.2,77.3,.166,,Quicken Loans Arena,843,042,20,562,
12,Philadelphia 76ers*,82,19780,40.7,86.3,.472,11.0,29.7,.369,29.8,56.6,.526,17.1,22.7,.752,10.9,36.4,47.3,27.0,8.3,5.1,16.4,22.0,5,Philadelphia 76ers*,25.8,52,30,53,29,4.50,-0.20,4.30,109.5,105.0,+4.5,99.8,.263,.344,.568,,.535,14.6,25.3,.198,,.492,12.6,78.6,.218,,Wells Fargo Center,833,503,20,361,
2,Toronto Raptors*,82,19830,42.0,89.1,.472,12.0,33.6,.358,30.0,55.5,.541,17.7,22.2,.794,9.9,34.9,44.8,24.8,7.8,6.2,13.6,22.2,2,Toronto Raptors*,25.8,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,+7.9,97.4,.250,.377,.575,,.539,12.1,23.0,.198,,.501,13.0,77.7,.212,,Air Canada Centre,813,431,19,840,
3,Golden State Warriors*,82,19730,42.9,85.3,.503,11.3,28.9,.391,31.5,56.3,.560,16.6,20.4,.815,8.4,35.1,43.6,29.3,8.0,7.5,15.5,19.6,3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,+6.0,99.6,.239,.339,.603,,.569,14.1,21.0,.195,,.504,12.6,76.3,.186,,Oracle Arena,803,436,19,596,
1,Houston Rockets*,82,19755,39.5,86.0,.460,15.6,43.2,.362,23.9,42.8,.558,20.0,25.7,.781,9.2,35.2,44.4,22.0,8.7,4.9,14.1,19.9,1,Houston Rockets*,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,+8.6,97.6,.298,.502,.590,,.551,12.7,21.3,.233,,.521,13.4,79.9,.171,,Toyota Center,732,722,17,871,
10,New Orleans Pelicans*,82,19955,41.9,86.6,.483,10.0,27.7,.362,31.9,59.0,.540,15.8,20.5,.772,8.5,35.0,43.5,26.3,7.9,5.8,14.6,18.8,13,New Orleans Pelicans*,27.6,48,34,44,38,1.30,0.18,1.48,109.6,108.3,+1.3,100.5,.237,.319,.573,,.541,13.3,20.0,.183,,.513,12.5,76.7,.175,,Smoothie King Center,673,920,16,437,
16,Utah Jazz*,82,19755,39.8,86.3,.462,11.3,30.8,.366,28.6,55.5,.515,17.5,22.4,.779,9.4,35.6,45.0,23.3,9.0,5.3,15.3,20.4,4,Utah Jazz*,26.7,48,34,53,29,4.30,0.17,4.47,108.4,103.9,+4.5,95.7,.260,.357,.564,,.527,13.7,21.5,.202,,.506,14.0,79.8,.190,,Vivint Smart Home Arena,734,806,17,922,
